trade_date,trade_month,interest_rate
7-Jul-17,7,1.5
10-Jul-17,7,1.5
11-Jul-17,7,1.5
12-Jul-17,7,1.5
13-Jul-17,7,1.5
14-Jul-17,7,1.5
17-Jul-17,7,1.5
18-Jul-17,7,1.5
19-Jul-17,7,1.5
20-Jul-17,7,1.5
21-Jul-17,7,1.5
24-Jul-17,7,1.5
25-Jul-17,7,1.5
26-Jul-17,7,1.5
27-Jul-17,7,1.5
28-Jul-17,7,1.5
31-Jul-17,7,1.5
1-Aug-17,8,1.5
2-Aug-17,8,1.5
3-Aug-17,8,1.5
4-Aug-17,8,1.5
7-Aug-17,8,1.5
8-Aug-17,8,1.5
9-Aug-17,8,1.5
10-Aug-17,8,1.5
11-Aug-17,8,1.5
14-Aug-17,8,1.5
15-Aug-17,8,1.5
16-Aug-17,8,1.5
17-Aug-17,8,1.5
18-Aug-17,8,1.5
21-Aug-17,8,1.5
22-Aug-17,8,1.5
23-Aug-17,8,1.5
24-Aug-17,8,1.5
25-Aug-17,8,1.5
28-Aug-17,8,1.5
29-Aug-17,8,1.5
30-Aug-17,8,1.5
31-Aug-17,8,1.5
1-Sep-17,9,1.5
4-Sep-17,9,1.5
5-Sep-17,9,1.5
6-Sep-17,9,1.5
7-Sep-17,9,1.5
8-Sep-17,9,1.5
11-Sep-17,9,1.5
12-Sep-17,9,1.5
13-Sep-17,9,1.5
14-Sep-17,9,1.5
15-Sep-17,9,1.5
18-Sep-17,9,1.5
19-Sep-17,9,1.5
20-Sep-17,9,1.5
21-Sep-17,9,1.5
22-Sep-17,9,1.5
25-Sep-17,9,1.5
26-Sep-17,9,1.5
27-Sep-17,9,1.5
28-Sep-17,9,1.5
29-Sep-17,9,1.5
2-Oct-17,10,1.5
3-Oct-17,10,1.5
4-Oct-17,10,1.5
5-Oct-17,10,1.5
6-Oct-17,10,1.5
9-Oct-17,10,1.5
10-Oct-17,10,1.5
11-Oct-17,10,1.5
12-Oct-17,10,1.5
13-Oct-17,10,1.5
16-Oct-17,10,1.5
17-Oct-17,10,1.5
18-Oct-17,10,1.5
19-Oct-17,10,1.5
20-Oct-17,10,1.5
23-Oct-17,10,1.5
24-Oct-17,10,1.5
25-Oct-17,10,1.5
26-Oct-17,10,1.5
27-Oct-17,10,1.5
30-Oct-17,10,1.5
31-Oct-17,10,1.5
1-Nov-17,11,1.5
2-Nov-17,11,1.5
3-Nov-17,11,1.5
6-Nov-17,11,1.5
7-Nov-17,11,1.5
8-Nov-17,11,1.5
9-Nov-17,11,1.5
10-Nov-17,11,1.5
13-Nov-17,11,1.5
14-Nov-17,11,1.5
15-Nov-17,11,1.5
16-Nov-17,11,1.5
17-Nov-17,11,1.5
20-Nov-17,11,1.5
21-Nov-17,11,1.5
22-Nov-17,11,1.5
23-Nov-17,11,1.5
24-Nov-17,11,1.5
27-Nov-17,11,1.5
28-Nov-17,11,1.5
29-Nov-17,11,1.5
30-Nov-17,11,1.5
1-Dec-17,12,1.5
4-Dec-17,12,1.5
5-Dec-17,12,1.5
6-Dec-17,12,1.5
7-Dec-17,12,1.5
8-Dec-17,12,1.5
11-Dec-17,12,1.5
12-Dec-17,12,1.5
13-Dec-17,12,1.5
14-Dec-17,12,1.5
15-Dec-17,12,1.5
18-Dec-17,12,1.5
19-Dec-17,12,1.5
20-Dec-17,12,1.5
21-Dec-17,12,1.5
22-Dec-17,12,1.5
27-Dec-17,12,1.5
28-Dec-17,12,1.5
29-Dec-17,12,1.5
2-Jan-18,1,1.5
3-Jan-18,1,1.5
4-Jan-18,1,1.5
5-Jan-18,1,1.5
8-Jan-18,1,1.5
9-Jan-18,1,1.5
10-Jan-18,1,1.5
11-Jan-18,1,1.5
12-Jan-18,1,1.5
15-Jan-18,1,1.5
16-Jan-18,1,1.5
17-Jan-18,1,1.5
18-Jan-18,1,1.5
19-Jan-18,1,1.5
22-Jan-18,1,1.5
23-Jan-18,1,1.5
24-Jan-18,1,1.5
25-Jan-18,1,1.5
29-Jan-18,1,1.5
30-Jan-18,1,1.5
31-Jan-18,1,1.5
1-Feb-18,2,1.5
2-Feb-18,2,1.5
